,Name,Question,Scores
0,,Q1_1,3
1,,Q1_2,5
2,,Q1_3,3
3,,Q2_1,4
4,,Q2_2,5
5,,Q2_3,4
6,,Q3_1,3
7,,Q3_2,5
8,,Q3_3,4
9,,Q4_1,5
10,,Q4_2,3
11,,Q4_3,6
12,,Q5_1,5
13,,Q5_2,5
14,,Q5_3,3
15,,Q6_1,4
16,,Q6_2,4
17,,Q6_3,3
18,,Q7_1,2
19,,Q7_2,5
20,,Q7_3,3
21,,Q8_1,4
22,,Q8_2,4
23,,Q8_3,3
24,,Q9_1,3
25,,Q9_2,5
26,,Q9_3,3
27,,Q10_1,4
28,,Q10_2,3
29,,Q10_3,3
30,,Q11_1,5
31,,Q11_2,5
32,,Q11_3,3
33,,Q12_1,5
34,,Q12_2,4
35,,Q12_3,3
36,,Q13_1,5
37,,Q13_2,5
38,,Q13_3,4
39,,Q14_1,5
40,,Q14_2,4
41,,Q14_3,3
42,,Q15_1,5
43,,Q15_2,5
44,,Q15_3,3
45,,Q16_1,4
46,,Q16_2,4
47,,Q16_3,3
48,,Q17_1,4
49,,Q17_2,4
50,,Q17_3,5
51,,Q18_1,2
52,,Q18_2,4
53,,Q18_3,4
54,,Q19_1,4
55,,Q19_2,5
56,,Q19_3,4
57,,Q20_1,5
58,,Q20_2,5
59,,Q20_3,3
60,,Q181_1,3
61,,Q181_2,5
62,,Q181_3,2
63,,Q182_1,4
64,,Q182_2,5
65,,Q182_3,3
66,,Q183_1,6
67,,Q183_2,5
68,,Q183_3,4
69,,Q184_1,5
70,,Q184_2,4
71,,Q184_3,4
72,,Q185_1,4
73,,Q185_2,4
74,,Q185_3,3
75,,Q186_1,4
76,,Q186_2,5
77,,Q186_3,4
78,,Q187_1,2
79,,Q187_2,3
80,,Q187_3,3
81,,Q188_1,5
82,,Q188_2,4
83,,Q188_3,4
84,,Q189_1,4
85,,Q189_2,4
86,,Q189_3,3
87,,Q190_1,3
88,,Q190_2,3
89,,Q190_3,3
90,,Q191_1,2
91,,Q191_2,6
92,,Q191_3,1
93,,Q192_1,4
94,,Q192_2,3
95,,Q192_3,3
96,,Q193_1,3
97,,Q193_2,4
98,,Q193_3,3
99,,Q194_1,3
100,,Q194_2,4
101,,Q194_3,3
102,,Q195_1,4
103,,Q195_2,3
104,,Q195_3,3
105,,Q196_1,3
106,,Q196_2,6
107,,Q196_3,7
108,,Q197_1,5
109,,Q197_2,6
110,,Q197_3,3
111,,Q198_1,2
112,,Q198_2,3
113,,Q198_3,3
114,,Q199_1,3
115,,Q199_2,3
116,,Q199_3,3
117,,Q200_1,4
118,,Q200_2,4
119,,Q200_3,3
120,mitubati555,Q1_1,4
121,mitubati555,Q1_2,6
122,mitubati555,Q1_3,3
123,mitubati555,Q2_1,4
124,mitubati555,Q2_2,5
125,mitubati555,Q2_3,3
126,mitubati555,Q3_1,4
127,mitubati555,Q3_2,6
128,mitubati555,Q3_3,3
129,mitubati555,Q4_1,4
130,mitubati555,Q4_2,5
